pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,collision_contact_steps,give_way_events,success_rate,mean_reward,static_collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_encounters,n_vessel_rows,n_solved
DQN_vs_RuleBased,clean,3,20.0,0.2,0.1,217.52218333333337,0.36666666666666664,0.23333333333333334,20.0,-106.75981500000002,0.0,44.95645,0.0,0.0,0.0,1.0,48.916666666666664,30,60,12
DQN_vs_RuleBased,clean,4,23.333333333333332,0.23333333333333334,0.2,217.5013666666667,0.36666666666666664,0.3333333333333333,16.666666666666664,-106.38466833333334,0.0,13.956995,0.0,0.0,0.0,1.02391,50.56666666666667,30,60,10
DQN_vs_RuleBased,clean,5,26.666666666666668,0.5333333333333333,0.26666666666666666,178.52709,1.1333333333333333,0.9333333333333333,30.0,-102.61894833333332,0.11666666666666667,13.44276333333333,0.0,0.0,0.0,1.0483166666666668,44.583333333333336,30,60,18
DQN_vs_RuleBased,clean,6,43.333333333333336,0.7666666666666667,0.26666666666666666,74.15987333333332,1.1,0.7,50.0,-49.299845,0.0,30.886985,0.0,0.0,0.0,1.0335266666666667,35.166666666666664,30,60,30
DQN_vs_RuleBased,clean,7,23.333333333333332,0.26666666666666666,0.16666666666666666,216.30875333333333,0.3333333333333333,1.2,20.0,-104.87856833333332,0.0,28.33938166666667,0.0,0.0,0.0,1.0,49.21666666666667,30,60,12
DQN_vs_RuleBased,harsh,0,13.333333333333334,0.2,0.2,213.29322,0.3,0.3,26.666666666666668,-112.19283999999999,1.0,67.233265,49.583333333333336,18.883333333333333,9.1744625,1.0,46.15,30,60,16
DQN_vs_RuleBased,harsh,1,26.666666666666668,0.26666666666666666,0.13333333333333333,227.43797333333333,2.1333333333333333,1.2,15.0,-191.69445833333333,0.8,47.47681833333333,44.416666666666664,19.833333333333332,11.817844444444443,1.338888888888889,51.333333333333336,30,60,9
DQN_vs_RuleBased,harsh,2,13.333333333333334,0.2,0.06666666666666667,214.80960999999996,0.4,0.23333333333333334,20.0,-103.62368166666667,0.06666666666666667,36.15554166666667,48.0,19.9,10.150391666666666,1.0,49.05,30,60,12
DQN_vs_RuleBased,harsh,3,23.333333333333332,0.4666666666666667,0.13333333333333333,206.68623000000005,1.8333333333333333,0.9333333333333333,23.333333333333332,-159.92676333333333,0.8166666666666667,32.802170000000004,42.21666666666667,19.916666666666668,9.293971428571428,1.734492857142857,47.45,30,60,14
DQN_vs_RuleBased,harsh,4,23.333333333333332,0.4,0.3333333333333333,189.81506000000002,0.7,0.6,20.0,-116.49572500000001,0.11666666666666667,25.183743333333332,45.733333333333334,19.833333333333332,12.297983333333333,1.8111666666666666,50.166666666666664,30,60,12
DQN_vs_RuleBased,harsh,5,30.0,0.7666666666666667,0.5333333333333333,177.69943,1.2333333333333334,1.6666666666666667,36.666666666666664,-125.47858000000001,1.0666666666666667,25.283695,51.81666666666667,17.3,8.192186363636365,1.6278590909090909,43.416666666666664,30,60,22
DQN_vs_RuleBased,harsh,6,43.333333333333336,1.0333333333333334,0.4666666666666667,120.86069333333333,2.2666666666666666,1.8666666666666667,48.333333333333336,-143.63071,1.4833333333333334,33.33353666666667,37.516666666666666,16.433333333333334,8.98196551724138,1.7989862068965514,40.083333333333336,30,60,29
DQN_vs_RuleBased,harsh,7,33.33333333333333,0.7666666666666667,0.36666666666666664,188.96791,1.6333333333333333,1.6666666666666667,28.333333333333332,-138.15315833333332,0.36666666666666664,33.511251666666666,37.25,18.533333333333335,9.96870588235294,1.2879529411764707,45.28333333333333,30,60,17
DQN_vs_RuleBased,mid,0,16.666666666666664,0.36666666666666664,0.13333333333333333,224.48916999999994,0.8,0.26666666666666666,33.33333333333333,-108.995575,0.8333333333333334,60.889048333333335,14.05,8.75,3.549134999999999,1.5786099999999998,44.25,30,60,20
DQN_vs_RuleBased,mid,1,20.0,0.2,0.06666666666666667,232.6552766666667,0.4,0.3333333333333333,11.666666666666666,-142.66756,0.7,70.63584166666665,14.183333333333334,10.45,4.6466714285714295,1.1417142857142857,52.983333333333334,30,60,7
DQN_vs_RuleBased,mid,2,13.333333333333334,0.2,0.06666666666666667,204.36386333333337,0.3333333333333333,0.23333333333333334,20.0,-101.09916333333334,0.15,36.99412833333333,14.5,10.166666666666666,4.511275,1.0,49.05,30,60,12
DQN_vs_RuleBased,mid,3,36.666666666666664,0.7,1.0333333333333334,170.91318666666666,3.466666666666667,2.6,35.0,-178.40075,0.4166666666666667,13.484758333333335,10.566666666666666,8.866666666666667,4.789557142857142,2.5768190476190473,43.96666666666667,30,60,21
DQN_vs_RuleBased,mid,4,26.666666666666668,0.4,0.1,181.00229666666667,0.8666666666666667,0.3333333333333333,20.0,-113.43709666666665,0.06666666666666667,16.344781666666663,11.866666666666667,10.2,4.503841666666666,1.2483083333333334,49.43333333333333,30,60,12
DQN_vs_RuleBased,mid,5,26.666666666666668,0.7333333333333333,0.36666666666666664,216.66021666666666,1.7,1.7,36.666666666666664,-131.1209333333333,0.7,22.34643,15.716666666666667,8.816666666666666,4.8773727272727285,1.766922727272727,44.05,30,60,22
DQN_vs_RuleBased,mid,6,53.333333333333336,1.4666666666666666,0.7666666666666667,107.30020333333333,2.7333333333333334,2.6,63.33333333333333,-96.30634,0.5666666666666667,21.810489999999998,9.116666666666667,6.283333333333333,4.2249263157894745,1.5590684210526315,31.666666666666668,30,60,38
DQN_vs_RuleBased,mid,7,30.0,0.36666666666666664,0.23333333333333334,214.8996966666667,2.3666666666666667,1.3666666666666667,20.0,-190.36144666666667,0.55,67.67133499999998,13.616666666666667,9.616666666666667,4.2002250000000005,1.0,49.21666666666667,30,60,12
RuleBased_vs_RuleBased,clean,0,46.666666666666664,1.1,0.43333333333333335,92.44249999999998,13.2,1.6666666666666667,48.333333333333336,-418.03354666666667,0.0,24.185628333333337,0.0,0.0,0.0,1.0,35.95,30,60,29
