condition,metric,reference,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
harsh,give_way_events,RuleBased_vs_RuleBased,DQN_vs_DQN,8,2.725,1.7,1.0250000000000001,0.078125,0.07467596071372465,0.7398676693959149,0.625,0.15625,0.078125,False,medium
harsh,give_way_events,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,2.725,1.8625,0.8624999999999999,0.078125,0.0683977663596137,0.7608942550226996,0.53125,0.15625,0.078125,False,medium
harsh,give_way_events,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,2.725,1.0583333333333333,1.6666666666666667,0.0234375,0.010273958956399116,1.2301695782628073,0.84375,0.0703125,0.0703125,False,large
harsh,success_rate,RuleBased_vs_RuleBased,DQN_vs_DQN,8,48.33333333333333,21.666666666666668,26.666666666666664,0.0078125,0.0007689815490107843,2.0,0.9375,0.0234375,0.0078125,True,large
harsh,success_rate,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,48.33333333333333,17.5,30.833333333333332,0.0078125,0.0008671103364128657,1.9594241370152476,0.9375,0.0234375,0.0078125,True,large
harsh,success_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,48.33333333333333,27.291666666666664,21.041666666666668,0.0078125,0.000793040792087984,1.989537489846152,0.75,0.0234375,0.0078125,True,large
harsh,mean_reward,RuleBased_vs_RuleBased,DQN_vs_DQN,8,-344.8673720833333,-208.88150458333334,-135.98586749999998,0.109375,0.08694525829602727,-0.7034222787922991,-0.4375,0.21875,0.1640625,False,medium
harsh,mean_reward,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,-344.8673720833333,-224.65494791666669,-120.21242416666666,0.1953125,0.1303569823579456,-0.6057900992178312,-0.4375,0.21875,0.1953125,False,medium
harsh,mean_reward,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,-344.8673720833333,-136.39948958333332,-208.4678825,0.0390625,0.012413341118460649,-1.18099978018512,-0.53125,0.1171875,0.1171875,False,large
harsh,cte_mean,RuleBased_vs_RuleBased,DQN_vs_DQN,8,23.21185583333333,54.734644583333335,-31.522788749999997,0.0078125,0.0006298597031655237,-2.0686970956124835,-0.96875,0.0234375,0.0078125,True,large
harsh,cte_mean,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,23.21185583333333,59.32660895833334,-36.11475312500001,0.0078125,0.0022036298294545666,-1.6623715494884224,-1.0,0.0234375,0.0078125,True,large
harsh,cte_mean,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,23.21185583333333,37.622502708333336,-14.410646875000001,0.0078125,0.013582326031165805,-1.1578500268738798,-0.71875,0.0234375,0.0078125,True,large
harsh,docking_accuracy,RuleBased_vs_RuleBased,DQN_vs_DQN,8,11.043125649860176,9.850951273726274,1.1921743761339028,0.25,0.2015729276448592,0.49828268383191426,0.5,0.5,0.375,False,small
harsh,docking_accuracy,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,11.043125649860176,10.060826671626984,0.9822989782331923,0.4609375,0.26962806176869053,0.42382175906733355,0.34375,0.5,0.4609375,False,small
harsh,docking_accuracy,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,11.043125649860176,9.98468889203082,1.0584367578293568,0.1484375,0.08052049005753378,0.7218206266346566,0.5,0.4453125,0.375,False,medium
harsh,optimality_ratio,RuleBased_vs_RuleBased,DQN_vs_DQN,8,1.0,4.19846060980686,-3.19846060980686,0.0078125,9.048553766857379e-05,-2.83166575386484,-1.0,0.0234375,0.01171875,True,large
harsh,optimality_ratio,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,1.0,3.5308949558080807,-2.5308949558080807,0.0078125,1.9471932331972412e-05,-3.5863453163165713,-1.0,0.0234375,0.01171875,True,large
harsh,optimality_ratio,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,1.0,1.4499183314600657,-0.44991833146006566,0.027707849358079864,0.007218499691806766,-1.3239375529903696,-0.75,0.027707849358079864,0.027707849358079864,True,large
