agent,condition,seed,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DQN,harsh,8,33.33333333333333,-91.29714333333335,33.33333333333333,1.1333333333333333,59.733333333333334,35.322320000000005,18.066666666666666,8.6631,2.4398100000000005,47.833333333333336,10,30
DQN,harsh,9,20.0,-113.00454,26.666666666666668,0.9,67.46666666666667,32.343063333333326,20.4,9.13565,3.142516666666667,52.36666666666667,6,30
DQN,harsh,10,40.0,-99.65785,53.333333333333336,1.2666666666666666,64.2,40.696503333333325,20.7,13.27304166666667,3.6556250000000006,51.93333333333333,12,30
DQN,harsh,11,33.33333333333333,-102.26848666666667,20.0,1.1666666666666667,52.36666666666667,26.10311,19.133333333333333,12.710379999999999,2.81626,49.2,10,30
DQN,harsh,12,23.333333333333332,-129.95362333333335,30.0,1.6666666666666667,68.83333333333333,33.12593333333333,20.6,7.3335,3.2607714285714287,52.9,7,30
DQN,harsh,13,30.0,-151.16913666666667,66.66666666666666,2.966666666666667,57.266666666666666,23.631216666666663,19.333333333333332,11.511955555555556,5.12028888888889,50.06666666666667,9,30
DQN,harsh,14,20.0,-114.05818000000001,40.0,0.7333333333333333,60.9,23.40987333333333,23.0,7.995799999999999,4.198366666666666,55.93333333333333,6,30
DQN,mid,0,23.333333333333332,-92.92929000000001,20.0,0.4,21.233333333333334,26.574926666666666,10.233333333333333,4.083557142857143,2.5853714285714284,51.333333333333336,7,30
DQN,mid,1,36.666666666666664,-70.29637333333335,40.0,0.7,14.1,21.124839999999995,9.033333333333333,5.944572727272728,2.2689272727272725,44.36666666666667,11,30
DQN,mid,2,0.0,-160.9051166666667,26.666666666666668,0.4,23.733333333333334,113.19717666666665,11.6,,,60.0,0,30
DQN,mid,3,3.3333333333333335,-127.14693666666668,13.333333333333334,0.16666666666666666,22.566666666666666,25.775323333333333,11.466666666666667,4.4934,6.6161,58.63333333333333,1,30
DQN,mid,4,33.33333333333333,-55.954990000000016,3.3333333333333335,0.03333333333333333,8.733333333333333,9.51206,8.833333333333334,6.03558,1.60929,45.93333333333333,10,30
DQN,mid,5,13.333333333333334,-118.34549999999999,26.666666666666668,0.6333333333333333,14.766666666666667,46.720726666666664,10.5,4.4274,1.401075,53.06666666666667,4,30
DQN,mid,6,0.0,-150.45020333333332,20.0,0.43333333333333335,20.9,34.06914,11.733333333333333,,,60.0,0,30
DQN,mid,7,26.666666666666668,-83.85747,36.666666666666664,0.5,13.333333333333334,35.354780000000005,9.166666666666666,5.075475000000001,1.2672625000000002,47.233333333333334,8,30
DQN,mid,8,26.666666666666668,-124.91156333333332,30.0,1.9333333333333333,15.3,43.17413666666667,8.333333333333334,5.808425,1.7383125000000001,46.733333333333334,8,30
DQN,mid,9,20.0,-101.68384999999999,23.333333333333332,0.3333333333333333,19.633333333333333,52.58768333333334,10.066666666666666,4.129183333333333,1.9480500000000003,51.733333333333334,6,30
DQN,mid,10,0.0,-157.69673999999998,20.0,0.36666666666666664,25.566666666666666,84.08547000000002,12.3,,,60.0,0,30
DQN,mid,11,36.666666666666664,-122.67432666666666,40.0,1.8333333333333333,10.4,18.525790000000004,8.666666666666666,4.742945454545454,1.1305636363636362,43.166666666666664,11,30
DQN,mid,12,20.0,-85.20076333333331,6.666666666666667,0.06666666666666667,17.833333333333332,25.43477333333334,9.133333333333333,3.0637000000000003,1.47265,49.8,6,30
DQN,mid,13,13.333333333333334,-131.64692,36.666666666666664,0.9,20.866666666666667,29.59299,11.3,3.5463999999999998,3.50035,55.06666666666667,4,30
DQN,mid,14,33.33333333333333,-63.29086333333333,33.33333333333333,0.3333333333333333,15.1,22.866933333333336,8.666666666666666,5.22535,1.26396,43.93333333333333,10,30
DoubleDQN,clean,0,50.0,-20.830023333333326,16.666666666666664,0.16666666666666666,0.0,45.66480666666667,0.0,0.0,1.0636066666666666,35.96666666666667,15,30
DoubleDQN,clean,1,16.666666666666664,-114.1956,20.0,0.2,0.0,48.300493333333335,0.0,0.0,4.53058,57.06666666666667,5,30
