algorithm,noise_std,packet_error_rate,metric,shapiro_W,p_value,normal
DuelingDoubleDQN,0.0,0.4,optimality_ratio,0.8836455560684673,0.3544400079051724,True
DuelingDoubleDQN,0.1,0.0,success_rate,0.7486401046814648,0.019318434057810252,False
DuelingDoubleDQN,0.1,0.0,mean_reward,0.7915806815630282,0.049300801176590484,False
DuelingDoubleDQN,0.1,0.0,collision_rate,0.9201163290138507,0.5061991983718745,True
DuelingDoubleDQN,0.1,0.0,collisions_per_ep,0.910953833585325,0.44270116349750605,True
DuelingDoubleDQN,0.1,0.0,iala_violations,0.9065896855645594,0.4143432066948749,True
DuelingDoubleDQN,0.1,0.0,cte_mean,0.8521520187930902,0.16382292165602746,True
DuelingDoubleDQN,0.1,0.0,docking_accuracy,0.8429343521915376,0.13784336996649854,True
DuelingDoubleDQN,0.1,0.0,dropped_frames,,,
DuelingDoubleDQN,0.1,0.0,optimality_ratio,0.7926596129225074,0.0504313849407988,True
DuelingDoubleDQN,0.1,0.2,success_rate,0.9580424341251023,0.8045337098275219,True
DuelingDoubleDQN,0.1,0.2,mean_reward,0.8443223844932619,0.1415097974191037,True
DuelingDoubleDQN,0.1,0.2,collision_rate,0.9154199010241928,0.47300030184492614,True
DuelingDoubleDQN,0.1,0.2,collisions_per_ep,0.9154902806391181,0.4734878768658377,True
DuelingDoubleDQN,0.1,0.2,iala_violations,0.9457374608611632,0.7056767629814114,True
DuelingDoubleDQN,0.1,0.2,cte_mean,0.7977593320869084,0.05610293868270032,True
DuelingDoubleDQN,0.1,0.2,docking_accuracy,0.9689590015222092,0.868531121545648,True
DuelingDoubleDQN,0.1,0.2,dropped_frames,0.9454836820199372,0.7036147039773533,True
DuelingDoubleDQN,0.1,0.2,optimality_ratio,0.8767304841442971,0.294756839883978,True
DuelingDoubleDQN,0.1,0.4,success_rate,0.8586087704685611,0.1844440184439785,True
DuelingDoubleDQN,0.1,0.4,mean_reward,0.7694308191008559,0.0306601466837101,False
DuelingDoubleDQN,0.1,0.4,collision_rate,0.9215710029235455,0.5167472249874885,True
DuelingDoubleDQN,0.1,0.4,collisions_per_ep,0.9471139143340451,0.7168617451769561,True
DuelingDoubleDQN,0.1,0.4,iala_violations,0.8912578125564012,0.3248307435670653,True
DuelingDoubleDQN,0.1,0.4,cte_mean,0.8632442948093155,0.20057742485945657,True
DuelingDoubleDQN,0.1,0.4,docking_accuracy,0.8651017892847019,0.20736836942226955,True
DuelingDoubleDQN,0.1,0.4,dropped_frames,0.8129267941999112,0.07657344277869563,True
DuelingDoubleDQN,0.1,0.4,optimality_ratio,0.8240327906418203,0.09560523545234388,True
DuelingDoubleDQN,0.25,0.0,success_rate,0.9899313995978309,0.9890063547010578,True
DuelingDoubleDQN,0.25,0.0,mean_reward,0.9820836315835124,0.9614338484287303,True
DuelingDoubleDQN,0.25,0.0,collision_rate,0.9050141424177901,0.4044155329384701,True
DuelingDoubleDQN,0.25,0.0,collisions_per_ep,0.8241712427618373,0.09586711489926539,True
DuelingDoubleDQN,0.25,0.0,iala_violations,0.9906469188117293,0.9906927832956361,True
DuelingDoubleDQN,0.25,0.0,cte_mean,0.8557948244561661,0.17519926482918036,True
DuelingDoubleDQN,0.25,0.0,docking_accuracy,0.9416664055465536,0.6726531733650495,True
DuelingDoubleDQN,0.25,0.0,dropped_frames,,,
DuelingDoubleDQN,0.25,0.0,optimality_ratio,0.9741879864306617,0.9192922214454997,True
DuelingDoubleDQN,0.25,0.2,success_rate,0.8785119841685295,0.26229319230474235,True
DuelingDoubleDQN,0.25,0.2,mean_reward,0.9601327751616165,0.8207633453201972,True
DuelingDoubleDQN,0.25,0.2,collision_rate,0.9611777705444617,0.8287703910884082,True
DuelingDoubleDQN,0.25,0.2,collisions_per_ep,0.9879706443032357,0.9836490638844221,True
DuelingDoubleDQN,0.25,0.2,iala_violations,0.9444894843093578,0.6955388254394879,True
DuelingDoubleDQN,0.25,0.2,cte_mean,0.8471649929013559,0.1492847020578258,True
DuelingDoubleDQN,0.25,0.2,docking_accuracy,0.8771598674579961,0.25626658277798087,True
DuelingDoubleDQN,0.25,0.2,dropped_frames,0.8111844362592764,0.07391936541275772,True
DuelingDoubleDQN,0.25,0.2,optimality_ratio,0.7832025318044695,0.04128085480194712,False
DuelingDoubleDQN,0.25,0.4,success_rate,0.9059372088724598,0.41021177062102815,True
DuelingDoubleDQN,0.25,0.4,mean_reward,0.8191528420450308,0.08677414637596907,True
DuelingDoubleDQN,0.25,0.4,collision_rate,0.9220371415800771,0.5201527829361943,True
DuelingDoubleDQN,0.25,0.4,collisions_per_ep,0.9560893125040217,0.7891516536092531,True
DuelingDoubleDQN,0.25,0.4,iala_violations,0.8856359566336315,0.2959495447681739,True
DuelingDoubleDQN,0.25,0.4,cte_mean,0.9346803088169693,0.616698415070181,True
DuelingDoubleDQN,0.25,0.4,docking_accuracy,0.8512196370422239,0.1610154470600444,True
DuelingDoubleDQN,0.25,0.4,dropped_frames,0.8792169669106951,0.2654804927094062,True
DuelingDoubleDQN,0.25,0.4,optimality_ratio,0.903925473377808,0.3976527557678538,True
