config_id,algorithm,per,noisy,seed,success_rate,mean_reward,mean_steps,invalid_rate,revisit_rate,optimality_ratio,excess_cost,route_risk,route_difficulty,n_solved,n_eval
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,0,20.0,-92.12107500000002,55.9,0.0,46.725,3.9689499999999995,162.78375,1.958625,5.69125,8,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,1,15.0,-97.96089999999998,53.025,0.0,48.1,2.3517,38.25333333333334,0.6839999999999998,1.8410000000000002,6,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,2,35.0,-51.622524999999996,41.325,0.0,36.925,1.0,0.0,0.35557142857142854,0.9507857142857142,14,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,3,77.5,36.044675,23.225,0.0,14.05,1.8568645161290322,46.3716129032258,0.6206451612903225,1.7430322580645163,31,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,4,35.0,-46.854499999999994,41.65,0.0,32.025,1.0,0.0,0.40821428571428564,0.9743571428571431,14,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,5,32.5,-56.63875,45.7,0.0,36.5,1.2273538461538462,22.9,0.6574615384615385,2.0033846153846153,13,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,6,50.0,-37.66335000000002,45.425,0.0,38.175,3.104325,121.93199999999999,1.9481000000000002,4.2831,20,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,7,20.0,-87.85954999999998,48.95,0.0,46.7,1.0,0.0,0.2565,0.575875,8,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,8,15.0,-92.22675000000001,53.125,0.0,46.4,5.728866666666666,51.449999999999996,0.7955,1.5971666666666664,6,40
DuelingDoubleDQN+PER,DuelingDoubleDQN,1,0,9,47.5,-25.65497499999999,36.025,0.0,30.4,1.0,0.0,0.3657368421052632,1.220157894736842,19,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,0,65.0,19.154799999999998,28.425,0.0,16.375,1.0695423076923076,5.423461538461538,0.5673846153846154,1.563423076923077,26,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,1,62.5,7.290525000000022,30.125,0.0,21.8,1.0137639999999999,1.2291999999999998,0.65012,1.83916,25,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,2,52.5,-11.940074999999982,33.825,0.0,26.125,1.158438095238095,10.667142857142856,0.551047619047619,1.3749047619047619,21,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,3,12.5,-98.66712500000001,53.325,0.0,46.825,1.21264,6.7620000000000005,0.33299999999999996,0.8527999999999999,5,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,4,50.0,-20.49445,35.4,0.0,28.6,1.0806900000000002,5.9305,0.5825,1.41345,20,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,5,70.0,24.583075,26.125,0.0,16.725,1.0324071428571429,2.7260714285714287,0.596107142857143,1.581678571428572,28,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,6,75.0,30.723224999999996,26.95,0.0,16.85,1.3001233333333333,25.286,0.7804666666666666,2.1144333333333334,30,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,7,50.0,-16.36857500000003,36.525,0.0,24.575,1.03294,2.3764999999999996,0.61855,1.6378999999999997,20,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,8,87.5,61.746775,19.775,0.0,7.425,1.08338,5.493142857142857,0.6906857142857143,1.7015142857142858,35,40
DuelingDoubleDQN+PER+Noisy,DuelingDoubleDQN,1,1,9,42.5,-31.142875000000014,38.75,0.0,28.65,1.0414117647058825,1.8352941176470587,0.4204117647058824,1.2677058823529412,17,40
